cajero,fecha,num averias,target
T10501B1,"03/05/2016 09:27:29,000000000",2,1
T16091B1,"03/05/2016 11:22:50,000000000",2,1
T10731B1,"03/05/2016 11:29:07,000000000",1,1
T10594C1,"03/05/2016 12:58:38,000000000",2,1
T10371B1,"03/05/2016 13:42:22,000000000",4,1
T10130C1,"04/05/2016 09:38:56,000000000",4,1
T10628C1,"05/05/2016 09:39:40,000000000",1,1
T10619C1,"05/05/2016 10:14:52,000000000",1,1
T17076F1,"06/05/2016 10:09:43,000000000",0,1
T17015B1,"06/05/2016 15:08:19,000000000",3,1
T10212B1,"09/05/2016 08:50:29,000000000",2,1
T16828C1,"09/05/2016 09:34:14,000000000",4,1
T12930B1,"09/05/2016 10:00:12,000000000",2,1
T10005E1,"09/05/2016 13:16:10,000000000",1,1
T15791B1,"10/05/2016 09:22:38,000000000",2,1
T10409C1,"10/05/2016 11:23:07,000000000",1,1
T17015B1,"11/05/2016 11:25:00,000000000",3,1
T12766C1,"11/05/2016 14:22:37,000000000",1,1
T12120B1,"12/05/2016 14:00:58,000000000",1,1
T10079B1,"13/05/2016 09:18:27,000000000",2,1
T10964B1,"13/05/2016 09:47:17,000000000",2,1
T10891B1,"13/05/2016 10:13:04,000000000",1,1
T14220D1,"16/05/2016 09:32:20,000000000",1,1
T17015B1,"16/05/2016 12:24:32,001000000",4,1
T10628C1,"18/05/2016 09:30:20,000000000",2,1
T13291B1,"18/05/2016 09:39:59,000000000",1,1
T13961B1,"18/05/2016 10:00:11,000000000",1,1
T13388B1,"19/05/2016 10:33:02,000000000",1,1
T16091B1,"19/05/2016 13:50:54,000000000",2,1
T14770D1,"20/05/2016 13:01:21,000000000",3,1
T16982C1,"23/05/2016 09:35:40,000000000",1,1
T10628C1,"23/05/2016 09:43:05,000000000",3,1
T12944B1,"23/05/2016 10:23:29,000000000",2,1
T10255C1,"23/05/2016 10:40:03,000000000",4,1
T10559B1,"23/05/2016 12:54:25,000000000",2,1
T14268C1,"23/05/2016 15:59:02,000000000",1,1
T16091B1,"24/05/2016 14:40:20,000000000",3,1
T16711C1,"25/05/2016 08:36:58,000000000",1,1
T10371B1,"25/05/2016 10:20:52,000000000",3,1
T10371B1,"25/05/2016 10:45:16,000000000",4,1
T14770D1,"25/05/2016 12:59:46,000000000",3,1
T15036B1,"25/05/2016 16:08:18,000000000",1,1
T10891B1,"26/05/2016 13:06:55,000000000",2,1
T17080B1,"27/05/2016 12:08:22,000000000",2,1
T15791B1,"27/05/2016 13:48:59,000000000",2,1
T10559B1,"27/05/2016 14:53:08,000000000",3,1
T16091B1,"31/05/2016 09:15:55,000000000",3,1
T10628C1,"31/05/2016 09:49:49,000000000",4,1
T13173E1,"31/05/2016 09:51:40,000000000",1,1
T11939B1,"31/05/2016 10:19:46,000000000",1,1
T14268C1,"31/05/2016 11:52:16,000000000",2,1
T10957B1,"31/05/2016 12:33:09,000000000",2,1
T13066C1,"31/05/2016 13:42:15,000000000",2,1
T13066C1,"31/05/2016 13:42:34,000000000",2,1
T10964B1,"01/06/2016 10:14:35,000000000",2,1
T10891B1,"01/06/2016 10:48:08,000000000",3,1
T12930B1,"01/06/2016 19:46:55,000000000",1,1
T11941B1,"02/06/2016 09:07:01,000000000",1,1
T10005E1,"02/06/2016 10:43:21,000000000",2,1
T10409C1,"02/06/2016 15:43:39,000000000",2,1
T16460C1,"03/06/2016 09:47:13,000000000",1,1
T14924D1,"03/06/2016 10:00:11,000000000",1,1
T10731B1,"03/06/2016 10:33:50,000000000",1,1
T10083B1,"03/06/2016 14:50:29,000000000",1,1
T10731B1,"06/06/2016 08:57:40,000000000",2,1
T10619C1,"06/06/2016 09:32:59,000000000",1,1
T10501B1,"08/06/2016 08:09:07,000000000",1,1
T10371B1,"08/06/2016 10:24:05,000000000",3,1
T17015B1,"08/06/2016 11:19:51,000000000",3,1
T16900B1,"10/06/2016 13:26:10,000000000",1,1
T17015B1,"13/06/2016 09:13:09,001000000",3,1
T15150D1,"13/06/2016 15:01:34,000000000",1,1
T19787B1,"14/06/2016 10:51:40,000000000",1,1
T16398B1,"14/06/2016 13:42:23,000000000",1,1
T14268C1,"15/06/2016 08:34:39,000000000",2,1
T16460C1,"15/06/2016 08:49:43,000000000",2,1
T13961B1,"15/06/2016 11:31:04,000000000",2,1
T11025B1,"16/06/2016 09:19:54,000000000",1,1
T15150D1,"17/06/2016 10:35:32,000000000",2,1
T10861B1,"17/06/2016 13:07:06,000000000",1,1
T17076F1,"17/06/2016 14:27:28,000000000",1,1
T17080B1,"20/06/2016 09:14:28,000000000",2,1
T10212B1,"21/06/2016 09:31:06,000000000",1,1
T15150D1,"21/06/2016 14:19:44,000000000",3,1
T15873D1,"21/06/2016 15:02:52,000000000",1,1
T17080B1,"22/06/2016 13:48:04,000000000",3,1
T13291B1,"22/06/2016 16:18:56,000000000",1,1
T11025B1,"22/06/2016 16:30:26,001000000",2,1
T12799B1,"27/06/2016 09:04:59,000000000",1,1
T13066C1,"27/06/2016 09:16:35,000000000",3,1
T11025B1,"27/06/2016 13:11:25,000000000",3,1
T10079B1,"27/06/2016 13:30:48,000000000",2,1
T12799B1,"27/06/2016 13:55:43,000000000",2,1
T16552C1,"28/06/2016 11:18:14,000000000",1,1
T12392C1,"28/06/2016 11:29:59,000000000",1,1
T15791B1,"28/06/2016 11:52:11,000000000",1,1
T17015B1,"28/06/2016 11:54:15,000000000",3,1
T11941B1,"28/06/2016 14:42:30,000000000",3,1
T11681C1,"29/06/2016 10:31:54,000000000",1,1
T17076F1,"29/06/2016 11:14:59,001000000",2,1
T18689C1,"29/06/2016 11:49:27,000000000",1,1
T13066C1,"29/06/2016 13:31:09,000000000",3,1
T11025B1,"29/06/2016 14:19:28,000000000",4,1
T12120B1,"30/06/2016 08:58:22,000000000",1,1
T13066C1,"30/06/2016 11:06:28,000000000",4,1
T19034C1,"01/07/2016 10:05:05,000000000",2,1
T11025B1,"01/07/2016 14:30:10,000000000",5,1
T10255C1,"04/07/2016 11:49:10,000000000",1,1
T16091B1,"05/07/2016 08:48:16,000000000",1,1
T18689C1,"06/07/2016 09:59:41,001000000",2,1
T17566B1,"06/07/2016 09:59:43,000000000",1,1
T11694B1,"06/07/2016 15:25:28,000000000",2,1
T10957B1,"07/07/2016 14:11:44,000000000",1,1
T15873D1,"08/07/2016 21:04:15,000000000",1,1
T12799B1,"11/07/2016 09:08:53,000000000",4,1
T10255B1,"11/07/2016 11:10:50,000000000",1,1
T10594C1,"11/07/2016 11:57:44,000000000",1,1
T13388B1,"11/07/2016 12:59:17,000000000",1,1
T17015B1,"12/07/2016 14:09:23,000000000",6,1
T12731B1,"14/07/2016 13:36:03,000000000",1,1
T10571B1,"14/07/2016 13:41:31,000000000",3,1
T10571B1,"15/07/2016 12:28:13,000000000",7,1
T16091B1,"15/07/2016 14:30:21,000000000",2,1
T17566B1,"15/07/2016 16:18:28,000000000",2,1
T10731B1,"18/07/2016 09:52:59,000000000",1,1
T10501B1,"18/07/2016 10:35:23,000000000",2,1
T10501B1,"18/07/2016 13:52:50,000000000",3,1
T10930C1,"19/07/2016 10:47:46,000000000",1,1
T17076F1,"19/07/2016 11:18:40,000000000",2,1
T12243C1,"19/07/2016 11:27:15,000000000",1,1
T10594C1,"19/07/2016 12:10:16,000000000",2,1
T10079B1,"20/07/2016 11:56:04,000000000",2,1
T10130C1,"21/07/2016 10:32:58,000000000",2,1
T12731B1,"21/07/2016 15:18:36,000000000",2,1
T17080B1,"22/07/2016 09:58:58,000000000",2,1
T12120B1,"25/07/2016 07:46:10,000000000",1,1
T13388B1,"25/07/2016 09:34:43,000000000",2,1
T18321B1,"25/07/2016 10:11:49,000000000",1,1
T11694B1,"25/07/2016 15:11:58,000000000",5,1
T11694B1,"25/07/2016 15:12:16,000000000",5,1
T10198C1,"26/07/2016 09:56:36,000000000",1,1
T17434B1,"26/07/2016 10:50:25,000000000",2,1
T12392C1,"26/07/2016 12:41:12,000000000",2,1
T10861B1,"26/07/2016 14:41:56,000000000",1,1
T16900B1,"27/07/2016 15:18:57,000000000",1,1
T10181E1,"28/07/2016 10:21:46,000000000",1,1
T10559B1,"29/07/2016 13:23:22,000000000",4,1
T15036B1,"01/08/2016 12:26:38,000000000",1,1
T12243C1,"01/08/2016 13:59:29,000000000",2,1
T10861B1,"02/08/2016 14:48:12,000000000",2,1
T12014C1,"03/08/2016 08:41:36,000000000",1,1
T10166C1,"03/08/2016 10:22:50,000000000",1,1
T10628C1,"03/08/2016 11:09:45,000000000",1,1
T16157B1,"03/08/2016 12:06:02,000000000",0,1
T11939B1,"04/08/2016 09:05:27,000000000",1,1
T10371B1,"04/08/2016 13:50:53,000000000",1,1
T11025B1,"04/08/2016 14:17:29,000000000",1,1
T15036B1,"09/08/2016 16:05:02,000000000",2,1
T12930B1,"10/08/2016 09:03:03,000000000",1,1
T10451E1,"11/08/2016 09:56:09,000000000",1,1
T10151C1,"12/08/2016 13:27:35,000000000",1,1
T11939B1,"16/08/2016 09:40:01,000000000",2,1
T10083B1,"17/08/2016 10:49:25,000000000",1,1
T10930C1,"17/08/2016 15:21:49,000000000",2,1
T15873D1,"18/08/2016 08:36:16,000000000",1,1
T16828C1,"18/08/2016 08:52:45,000000000",1,1
T12930B1,"18/08/2016 12:38:55,000000000",2,1
T10371B1,"19/08/2016 11:30:49,000000000",3,1
T10371B1,"19/08/2016 11:31:28,000000000",3,1
